version,trigger_name,name,ra,dec,lii,bii,error_radius,time,end_time,trigger_time,trigger_type,reliability,trigger_timescale,trigger_algorithm,channel_low,channel_high,adc_low,adc_high,detector_mask,geo_long,geo_lat,ra_scx,dec_scx,ra_scz,dec_scz,theta,phi,localization_source
0,bn240612910,TGF240612910,195.0,-89.4167,302.9563,-26.5454,50.0,60473.908143855,60473.915255098,60473.909729254,TGF,1.0,16,116,5,7,1353,4095,11010000011111,89.35,25.1333,84.2057,11.2336,307.2634,74.793,165.007,219.981,"Fermi, GBM"
1,bn120403857,GRB120403857,55.3384,-89.0093,302.1752,-27.8569,0.0011,56020.855356609,56020.862467837,56020.856927003,GRB,1.0,1024,13,3,4,259,1352,11000,311.2612,10.1041,355.8581,20.4013,70.5026,-35.4507,53.5859,115.004,"Swift, XRT"
0,bn140912846,TGF140912846,44.05,-88.9333,302.306,-28.0394,28.3833,56912.844334483,56912.851445707,56912.845875803,TGF,1.0,16,119,5,7,1353,4095,11,165.65,25.4333,188.6801,12.7097,104.5758,-24.486,65.0,255.0,"Fermi, GBM FSW"
2,bn120227725,GRB120227725,256.73,-88.86,304.0768,-26.6216,1.21,55984.723928477,55984.731039695,55984.725475166,GRB,1.0,1024,13,3,4,259,1352,100100,156.133,15.75,331.6259,26.2964,182.3737,60.1019,149.761,209.424,"Fermi, GBM"
0,bn140630748,TGF140630748,128.7667,-88.45,301.3748,-26.4425,32.6,56838.746227914,56838.75333913,56838.747788306,TGF,1.0,16,119,5,7,1353,4095,11,349.8,8.0333,72.821,-11.8574,147.5497,51.4406,140.0,70.0,"Fermi, GBM FSW"
0,bn230524357,GRB230524357,13.08,-87.77,302.9221,-29.3582,4.46,60088.355709141,60088.361303305,60088.357309166,GRB,1.0,256,8,3,4,259,1352,11010000000000,247.4167,-25.05,60.5992,-15.5023,243.2589,-74.4817,17.0306,3.2938,"Fermi, GBM"
2,bn141205018,GRB141205018,294.61,-87.58,305.6055,-27.5957,3.9,56996.016189103,56996.023205511,56996.017706164,GRB,1.0,2048,14,3,4,259,1352,1000100000,42.3667,-20.5,202.2292,7.2684,107.5505,32.6001,125.001,261.0,"Fermi, GBM"
1,bn180630467,GRB180630467,48.9589,-87.4785,301.231,-29.1553,0.001,58299.465019666,58299.472130905,58299.466601915,GRB,1.0,1024,13,3,4,259,1352,10010000,108.1833,-23.5,104.5095,7.8192,170.2399,-71.5257,19.89,109.041,"Swift, XRT"
2,bn170116238,GRB170116238,72.94,-87.43,300.4,-28.3874,9.37,57769.236842141,57769.243953381,57769.238371056,GRB,1.0,1024,12,3,4,259,1352,100100000000,142.5333,12.0333,296.3059,-33.069,312.9995,55.7933,147.01,18.0213,"Fermi, GBM"
0,bn170909434,TGF170909434,43.85,-86.8667,301.0733,-29.802,27.1,58005.432145363,58005.439256603,58005.433674278,TGF,1.0,16,117,5,7,1353,4095,10101000000010,112.2167,24.6167,168.2433,5.676,277.6689,73.3616,165.0,120.0,"Fermi, GBM FSW"
